Method_A,Method_B,Mean_A,Mean_B,Mean_diff,W_stat,p_value,significant
CIBICA,3C-FBI,0.897,0.895,0.002,3803.0,0.004714365836540708,yes
CIBICA,RHT,0.897,0.807,0.0899,74.0,1.0377427781761278e-24,yes
CIBICA,RCD,0.897,0.8611,0.0358,974.0,2.5003563348169045e-17,yes
CIBICA,RFCA,0.897,0.8895,0.0075,3747.0,0.0033075237024113168,yes
CIBICA,Nurunnabi,0.897,0.8432,0.0538,593.0,2.766431489194925e-20,yes
CIBICA,Guo,0.897,0.8982,-0.0012,4046.0,0.019216029449045924,yes
CIBICA,Greco,0.897,0.8963,0.0007,4956.0,0.5985433752024307,no
CIBICA,Qi,0.897,0.8956,0.0014,4619.0,0.2306924822831229,no
3C-FBI,RHT,0.895,0.807,0.088,105.0,1.9651011490586994e-24,yes
3C-FBI,RCD,0.895,0.8611,0.0339,1096.0,1.9598809146173357e-16,yes
3C-FBI,RFCA,0.895,0.8895,0.0056,4305.0,0.06803294491579755,no
3C-FBI,Nurunnabi,0.895,0.8432,0.0518,752.0,5.077903354274522e-19,yes
3C-FBI,Guo,0.895,0.8982,-0.0032,3551.0,0.0008731686039843255,yes
3C-FBI,Greco,0.895,0.8963,-0.0012,4469.0,0.13420533202503102,no
3C-FBI,Qi,0.895,0.8956,-0.0005,4544.0,0.17761021016865863,no
RHT,RCD,0.807,0.8611,-0.0541,242.0,3.1561398298511156e-23,yes
RHT,RFCA,0.807,0.8895,-0.0824,60.0,7.768200715912897e-25,yes
RHT,Nurunnabi,0.807,0.8432,-0.0362,1266.0,3.133295592730825e-15,yes
RHT,Guo,0.807,0.8982,-0.0912,113.0,2.3156767982815158e-24,yes
RHT,Greco,0.807,0.8963,-0.0892,63.0,8.266073138110029e-25,yes
RHT,Qi,0.807,0.8956,-0.0885,95.0,1.5999800708107633e-24,yes
RCD,RFCA,0.8611,0.8895,-0.0283,1096.0,1.9598809146173357e-16,yes
RCD,Nurunnabi,0.8611,0.8432,0.0179,3279.0,0.00010841430475707587,yes
RCD,Guo,0.8611,0.8982,-0.0371,865.0,3.780906848642595e-18,yes
RCD,Greco,0.8611,0.8963,-0.0351,1126.0,3.2228226810492494e-16,yes
RCD,Qi,0.8611,0.8956,-0.0344,1092.0,1.8336351923270805e-16,yes
RFCA,Nurunnabi,0.8895,0.8432,0.0462,221.0,2.072116036050336e-23,yes
RFCA,Guo,0.8895,0.8982,-0.0087,2898.0,3.6429981128752565e-06,yes
RFCA,Greco,0.8895,0.8963,-0.0068,3979.0,0.013326162500608618,yes
RFCA,Qi,0.8895,0.8956,-0.0061,4253.0,0.05379391158258426,no
Nurunnabi,Guo,0.8432,0.8982,-0.055,363.0,3.446703275585185e-22,yes
Nurunnabi,Greco,0.8432,0.8963,-0.053,637.0,6.25117428518877e-20,yes
Nurunnabi,Qi,0.8432,0.8956,-0.0523,724.0,3.0638418895294243e-19,yes
Guo,Greco,0.8982,0.8963,0.0019,4272.0,0.05867768111324937,no
Guo,Qi,0.8982,0.8956,0.0027,3099.0,2.337747652862724e-05,yes
Greco,Qi,0.8963,0.8956,0.0007,4968.0,0.6152703427750752,no
