Method_A,Method_B,Mean_A,Mean_B,Delta,W_stat,p_value,Stars
CIBICA,3C-FBI-3,0.8985,0.8947,0.0039,3614.0,0.0013607346572405243,**
CIBICA,3C-FBI-5,0.8985,0.8892,0.0093,3183.0,4.8571150374777185e-05,***
CIBICA,RHT,0.8985,0.8073,0.0912,32.0,4.342854664177451e-25,***
CIBICA,RCD,0.8985,0.864,0.0346,1184.0,8.34646225183225e-16,***
CIBICA,RFCA,0.8985,0.8895,0.009,3499.0,0.0005987104724453447,***
CIBICA,Nurunnabi,0.8985,0.841,0.0575,426.0,1.1696809051149484e-21,***
CIBICA,Guo,0.8985,0.8088,0.0897,342.0,2.2856406532942045e-22,***
CIBICA,Greco,0.8985,0.8963,0.0022,4626.0,0.23616898089965677,ns
CIBICA,Qi,0.8985,0.8956,0.003,4401.0,0.10239849181964816,ns
3C-FBI-3,3C-FBI-5,0.8947,0.8892,0.0054,3690.0,0.002278635922017616,**
3C-FBI-3,RHT,0.8947,0.8073,0.0873,33.0,4.434226533924862e-25,***
3C-FBI-3,RCD,0.8947,0.864,0.0307,1170.0,6.641606172807053e-16,***
3C-FBI-3,RFCA,0.8947,0.8895,0.0052,4473.0,0.13629119142447327,ns
3C-FBI-3,Nurunnabi,0.8947,0.841,0.0536,448.0,1.785582649014693e-21,***
3C-FBI-3,Guo,0.8947,0.8088,0.0859,348.0,2.5707223554125123e-22,***
3C-FBI-3,Greco,0.8947,0.8963,-0.0016,4390.0,0.09786920000429865,ns
3C-FBI-3,Qi,0.8947,0.8956,-0.0009,4754.0,0.3527098753116813,ns
3C-FBI-5,RHT,0.8892,0.8073,0.0819,36.0,4.719927703641392e-25,***
3C-FBI-5,RCD,0.8892,0.864,0.0253,1256.0,2.67025865316226e-15,***
3C-FBI-5,RFCA,0.8892,0.8895,-0.0002,4688.0,0.28870355658546076,ns
3C-FBI-5,Nurunnabi,0.8892,0.841,0.0482,312.0,1.2672093009251832e-22,***
3C-FBI-5,Guo,0.8892,0.8088,0.0805,388.0,5.607855232522341e-22,***
3C-FBI-5,Greco,0.8892,0.8963,-0.007,3575.0,0.0010357523597324652,**
3C-FBI-5,Qi,0.8892,0.8956,-0.0063,3848.0,0.006215594536699439,**
RHT,RCD,0.8073,0.864,-0.0566,151.0,5.03296633462207e-24,***
RHT,RFCA,0.8073,0.8895,-0.0821,46.0,5.810528498496927e-25,***
RHT,Nurunnabi,0.8073,0.841,-0.0337,1440.0,4.7551472751688255e-14,***
RHT,Guo,0.8073,0.8088,-0.0014,4643.0,0.24985005833169927,ns
RHT,Greco,0.8073,0.8963,-0.0889,42.0,5.347170882877927e-25,***
RHT,Qi,0.8073,0.8956,-0.0882,60.0,7.768200715912897e-25,***
RCD,RFCA,0.864,0.8895,-0.0255,1424.0,3.7213523081134006e-14,***
RCD,Nurunnabi,0.864,0.841,0.0229,2559.0,1.1153951593566079e-07,***
RCD,Guo,0.864,0.8088,0.0552,1733.0,3.5472042098349744e-12,***
RCD,Greco,0.864,0.8963,-0.0323,1397.0,2.455032974609221e-14,***
RCD,Qi,0.864,0.8956,-0.0316,1490.0,1.0163824340685734e-13,***
RFCA,Nurunnabi,0.8895,0.841,0.0484,201.0,1.3857103219417334e-23,***
RFCA,Guo,0.8895,0.8088,0.0807,227.0,2.3372389011089508e-23,***
RFCA,Greco,0.8895,0.8963,-0.0068,3979.0,0.013326162500608618,*
RFCA,Qi,0.8895,0.8956,-0.0061,4253.0,0.05379391158258426,ns
Nurunnabi,Guo,0.841,0.8088,0.0322,2065.0,3.133399910058326e-10,***
Nurunnabi,Greco,0.841,0.8963,-0.0552,552.0,1.2854071462693362e-20,***
Nurunnabi,Qi,0.841,0.8956,-0.0545,655.0,8.706503041491972e-20,***
Guo,Greco,0.8088,0.8963,-0.0875,393.0,6.1794117536115205e-22,***
Guo,Qi,0.8088,0.8956,-0.0868,388.0,5.607855232522341e-22,***
Greco,Qi,0.8963,0.8956,0.0007,4968.0,0.6152703427750752,ns
