Method,Config,Time_s,FPS
CIBICA,GL70,0.002846,351.4
CIBICA,GL72,0.002992,334.2
CIBICA,GL74,0.002928,341.6
CIBICA,GL76,0.002962,337.6
CIBICA,GL78,0.003135,319.0
CIBICA,GL80,0.0034,294.1
CIBICA,GL82,0.00375,266.7
CIBICA,GL84,0.004069,245.7
CIBICA,GL86,0.004595,217.6
CIBICA,Med3,0.003326,300.6
CIBICA,Med5,0.003133,319.2
CIBICA,Med7,0.002963,337.5
CIBICA,Med9,0.002959,338.0
CIBICA,Med11,0.002849,351.0
CIBICA,Med13,0.002635,379.5
CIBICA,Med15,0.002336,428.1
CIBICA,Med17,0.002117,472.5
CIBICA,Med19,0.001892,528.4
3C-FBI,GL70,0.006113,163.6
3C-FBI,GL72,0.006156,162.4
3C-FBI,GL74,0.006213,160.9
3C-FBI,GL76,0.006279,159.2
3C-FBI,GL78,0.006443,155.2
3C-FBI,GL80,0.006733,148.5
3C-FBI,GL82,0.007064,141.6
3C-FBI,GL84,0.007525,132.9
3C-FBI,GL86,0.007895,126.7
3C-FBI,Med3,0.006613,151.2
3C-FBI,Med5,0.006442,155.2
3C-FBI,Med7,0.006231,160.5
3C-FBI,Med9,0.006198,161.3
3C-FBI,Med11,0.006135,163.0
3C-FBI,Med13,0.005881,170.0
3C-FBI,Med15,0.005619,178.0
3C-FBI,Med17,0.005443,183.7
3C-FBI,Med19,0.00521,191.9
RHT,GL70,0.018615,53.7
RHT,GL72,0.01857,53.9
RHT,GL74,0.018619,53.7
RHT,GL76,0.01866,53.6
RHT,GL78,0.01859,53.8
RHT,GL80,0.018635,53.7
RHT,GL82,0.018685,53.5
RHT,GL84,0.018692,53.5
RHT,GL86,0.018812,53.2
RHT,Med3,0.018672,53.6
RHT,Med5,0.018651,53.6
RHT,Med7,0.018638,53.7
RHT,Med9,0.018636,53.7
RHT,Med11,0.018575,53.8
RHT,Med13,0.018534,54.0
RHT,Med15,0.018543,53.9
RHT,Med17,0.018468,54.1
RHT,Med19,0.018431,54.3
RCD,GL70,0.043415,23.0
RCD,GL72,0.043477,23.0
RCD,GL74,0.043553,23.0
RCD,GL76,0.043715,22.9
RCD,GL78,0.043929,22.8
RCD,GL80,0.044187,22.6
RCD,GL82,0.044327,22.6
RCD,GL84,0.0446,22.4
RCD,GL86,0.044948,22.2
RCD,Med3,0.046028,21.7
RCD,Med5,0.045716,21.9
RCD,Med7,0.0451,22.2
RCD,Med9,0.044546,22.4
RCD,Med11,0.043951,22.8
RCD,Med13,0.043089,23.2
RCD,Med15,0.042034,23.8
RCD,Med17,0.04085,24.5
RCD,Med19,0.039853,25.1
RFCA,GL70,0.005683,176.0
RFCA,GL72,0.005645,177.1
RFCA,GL74,0.005797,172.5
RFCA,GL76,0.005561,179.8
RFCA,GL78,0.005805,172.3
RFCA,GL80,0.005663,176.6
RFCA,GL82,0.005688,175.8
RFCA,GL84,0.005738,174.3
RFCA,GL86,0.005702,175.4
RFCA,Med3,0.00559,178.9
RFCA,Med5,0.005381,185.9
RFCA,Med7,0.005528,180.9
RFCA,Med9,0.005639,177.3
RFCA,Med11,0.005647,177.1
RFCA,Med13,0.005483,182.4
RFCA,Med15,0.005282,189.3
RFCA,Med17,0.005064,197.5
RFCA,Med19,0.005027,198.9
Nurunnabi,GL70,0.001666,600.1
Nurunnabi,GL72,0.001683,594.2
Nurunnabi,GL74,0.001675,597.0
Nurunnabi,GL76,0.001672,598.0
Nurunnabi,GL78,0.001675,597.1
Nurunnabi,GL80,0.001682,594.5
Nurunnabi,GL82,0.001686,593.3
Nurunnabi,GL84,0.001677,596.4
Nurunnabi,GL86,0.001682,594.6
Nurunnabi,Med3,0.001688,592.4
Nurunnabi,Med5,0.00168,595.4
Nurunnabi,Med7,0.001672,598.2
Nurunnabi,Med9,0.001675,596.9
Nurunnabi,Med11,0.001673,597.8
Nurunnabi,Med13,0.001672,597.9
Nurunnabi,Med15,0.001669,599.3
Nurunnabi,Med17,0.001664,600.9
Nurunnabi,Med19,0.001666,600.3
Guo,GL70,0.000174,5756.4
Guo,GL72,0.00016,6258.9
Guo,GL74,0.000147,6786.2
Guo,GL76,0.000151,6638.4
Guo,GL78,0.000152,6585.9
Guo,GL80,0.000147,6798.0
Guo,GL82,0.000159,6280.1
Guo,GL84,0.000175,5715.8
Guo,GL86,0.000169,5901.3
Guo,Med3,0.000221,4528.7
Guo,Med5,0.000203,4918.7
Guo,Med7,0.000206,4852.8
Guo,Med9,0.000204,4896.4
Guo,Med11,0.000192,5203.3
Guo,Med13,0.000157,6360.3
Guo,Med15,0.00013,7719.3
Guo,Med17,0.000111,8998.5
Guo,Med19,0.000103,9696.1
Greco,GL70,0.004173,239.7
Greco,GL72,0.004272,234.1
Greco,GL74,0.004288,233.2
Greco,GL76,0.004305,232.3
Greco,GL78,0.004258,234.8
Greco,GL80,0.004317,231.7
Greco,GL82,0.004347,230.0
Greco,GL84,0.004416,226.5
Greco,GL86,0.004359,229.4
Greco,Med3,0.0043,232.6
Greco,Med5,0.004378,228.4
Greco,Med7,0.004272,234.1
Greco,Med9,0.00438,228.3
Greco,Med11,0.00435,229.9
Greco,Med13,0.004315,231.7
Greco,Med15,0.004296,232.8
Greco,Med17,0.004212,237.4
Greco,Med19,0.004276,233.9
Qi,GL70,0.001897,527.2
Qi,GL72,0.001924,519.7
Qi,GL74,0.001823,548.4
Qi,GL76,0.001905,525.0
Qi,GL78,0.001708,585.5
Qi,GL80,0.001677,596.2
Qi,GL82,0.001685,593.6
Qi,GL84,0.001951,512.6
Qi,GL86,0.002008,498.0
Qi,Med3,0.001918,521.5
Qi,Med5,0.002438,410.2
Qi,Med7,0.001876,533.1
Qi,Med9,0.002012,496.9
Qi,Med11,0.00192,520.9
Qi,Med13,0.001618,618.0
Qi,Med15,0.002288,437.1
Qi,Med17,0.001754,570.0
Qi,Med19,0.001536,651.2
