Method_A,Method_B,Mean_A,Mean_B,Delta,W_stat,p_value,Stars
3C-FBI,RHT,0.8962,0.8074,0.0888,101.0,1.810078101933007e-24,***
3C-FBI,RCD,0.8962,0.8603,0.0359,1048.0,8.778682027703372e-17,***
3C-FBI,RFCA,0.8962,0.8895,0.0068,4109.0,0.02671395924570569,*
3C-FBI,Nurunnabi,0.8962,0.842,0.0542,569.0,1.7677153257570882e-20,***
3C-FBI,Guo,0.8962,0.8088,0.0874,313.0,1.2924442051880456e-22,***
3C-FBI,Greco,0.8962,0.8963,-0.0,4834.0,0.4414176456175931,ns
3C-FBI,Qi,0.8962,0.8956,0.0007,4932.0,0.5657244357543801,ns
RHT,RCD,0.8074,0.8603,-0.0529,258.0,4.3439215548157114e-23,***
RHT,RFCA,0.8074,0.8895,-0.082,55.0,7.003603097682575e-25,***
RHT,Nurunnabi,0.8074,0.842,-0.0345,1491.0,1.0318383926838766e-13,***
RHT,Guo,0.8074,0.8088,-0.0013,4613.0,0.22607068387830132,ns
RHT,Greco,0.8074,0.8963,-0.0888,74.0,1.0377427781761278e-24,***
RHT,Qi,0.8074,0.8956,-0.0881,69.0,9.358594601459873e-25,***
RCD,RFCA,0.8603,0.8895,-0.0292,1147.0,4.555424969030581e-16,***
RCD,Nurunnabi,0.8603,0.842,0.0183,3390.0,0.00026267240063655413,***
RCD,Guo,0.8603,0.8088,0.0515,2146.0,8.760783584782229e-10,***
RCD,Greco,0.8603,0.8963,-0.036,1211.0,1.2939895326715161e-15,***
RCD,Qi,0.8603,0.8956,-0.0352,1195.0,9.982381933303863e-16,***
RFCA,Nurunnabi,0.8895,0.842,0.0475,220.0,2.030922002205338e-23,***
RFCA,Guo,0.8895,0.8088,0.0807,227.0,2.3372389011089508e-23,***
RFCA,Greco,0.8895,0.8963,-0.0068,3979.0,0.013326162500608618,*
RFCA,Qi,0.8895,0.8956,-0.0061,4253.0,0.05379391158258426,ns
Nurunnabi,Guo,0.842,0.8088,0.0332,1831.0,1.3923757510535765e-11,***
Nurunnabi,Greco,0.842,0.8963,-0.0543,580.0,2.171119818287575e-20,***
Nurunnabi,Qi,0.842,0.8956,-0.0536,671.0,1.1675472570957515e-19,***
Guo,Greco,0.8088,0.8963,-0.0875,393.0,6.1794117536115205e-22,***
Guo,Qi,0.8088,0.8956,-0.0868,388.0,5.607855232522341e-22,***
Greco,Qi,0.8963,0.8956,0.0007,4968.0,0.6152703427750752,ns
