Method,0 outliers,1 outliers,2 outliers,3 outliers,4 outliers,5 outliers,Mean
CIBICA,0.7167,0.7388,0.7924,0.8872,0.817,0.8234,0.7959
3C-FBI-3,0.4447,0.4669,0.4979,0.6022,0.5723,0.4976,0.5136
3C-FBI-5,0.4875,0.4361,0.5121,0.5391,0.5288,0.4977,0.5002
RHT,2.1001,2.4412,2.2672,2.5213,2.5972,3.2172,2.524
RCD,0.7505,0.8142,0.9323,0.8229,0.7616,0.7396,0.8035
RFCA,0.5319,0.5748,0.5357,0.6079,0.592,0.5649,0.5679
Nurunnabi,0.5074,0.8239,0.8805,1.0757,1.2273,1.2068,0.9536
Guo,0.7991,0.7982,0.7014,0.7768,0.7753,1.5921,0.9072
Greco,0.7354,0.7296,0.7856,0.7678,0.7636,0.7303,0.752
Qi,0.5987,0.5602,0.5259,0.6021,0.5565,0.5333,0.5628
