Method,0 outliers,1 outliers,2 outliers,3 outliers,4 outliers,5 outliers,Mean
CIBICA,0.9886,0.9884,0.987,0.9861,0.9872,0.9867,0.9873
3C-FBI-3,0.9927,0.9929,0.992,0.9905,0.9912,0.9918,0.9918
3C-FBI-5,0.9923,0.9933,0.9921,0.9915,0.9919,0.9922,0.9922
RHT,0.9683,0.9623,0.9647,0.9614,0.9607,0.9521,0.9616
RCD,0.9879,0.9875,0.9856,0.9872,0.9883,0.9881,0.9875
RFCA,0.9913,0.9911,0.9912,0.99,0.9908,0.9908,0.9909
Nurunnabi,0.992,0.9874,0.9855,0.9824,0.9812,0.981,0.9849
Guo,0.9872,0.9872,0.9883,0.9872,0.9876,0.9755,0.9855
Greco,0.9883,0.9887,0.9876,0.9875,0.9882,0.9882,0.9881
Qi,0.9905,0.9912,0.9916,0.9904,0.9913,0.9912,0.991
