Method,0 outliers,1 outliers,2 outliers,3 outliers,4 outliers,5 outliers,Mean
CIBICA,0.4229,0.4264,0.5144,0.5354,0.4764,0.5101,0.481
3C-FBI-3,0.2848,0.2528,0.2879,0.3625,0.322,0.3064,0.3027
3C-FBI-5,0.2953,0.2501,0.2919,0.3189,0.291,0.2876,0.2891
RHT,1.1467,1.4598,1.4076,1.5138,1.4934,1.9013,1.4871
RCD,0.4596,0.452,0.5239,0.468,0.3769,0.4527,0.4555
RFCA,0.3458,0.334,0.3414,0.4057,0.3341,0.3609,0.3536
Nurunnabi,0.3072,0.4656,0.5687,0.7109,0.6843,0.7179,0.5758
Guo,0.5405,0.5431,0.5069,0.554,0.5306,1.1474,0.6371
Greco,0.4621,0.4167,0.471,0.5192,0.4316,0.4697,0.4617
Qi,0.3772,0.3333,0.32,0.37,0.3268,0.3466,0.3457
