Method,0out_s,0out_fps,1out_s,1out_fps,2out_s,2out_fps,3out_s,3out_fps,4out_s,4out_fps,5out_s,5out_fps,Mean_FPS
CIBICA,0.001267,789.1,0.001276,783.5,0.001231,812.5,0.001271,786.9,0.001219,820.4,0.001162,860.9,808.0
3C-FBI-3,0.005168,193.5,0.004848,206.3,0.004688,213.3,0.00468,213.7,0.004613,216.8,0.004564,219.1,210.1
3C-FBI-5,0.005659,176.7,0.005657,176.8,0.00553,180.8,0.005441,183.8,0.005405,185.0,0.005369,186.3,181.5
RHT,0.018244,54.8,0.018173,55.0,0.018234,54.8,0.018448,54.2,0.018259,54.8,0.018067,55.3,54.8
RCD,0.055066,18.2,0.054654,18.3,0.055198,18.1,0.055773,17.9,0.055299,18.1,0.054875,18.2,18.1
RFCA,0.006414,155.9,0.006305,158.6,0.006408,156.1,0.0062,161.3,0.006076,164.6,0.006366,157.1,158.9
Nurunnabi,0.001647,607.3,0.001631,613.0,0.001633,612.3,0.001644,608.4,0.001645,607.8,0.001616,618.9,611.2
Guo,0.000132,7558.1,0.000193,5179.4,0.000184,5432.3,0.000196,5098.3,0.000206,4853.9,0.000207,4824.5,5362.4
Greco,0.005195,192.5,0.005277,189.5,0.005129,195.0,0.005092,196.4,0.005075,197.0,0.005006,199.8,195.0
Qi,0.001561,640.6,0.001677,596.4,0.001636,611.1,0.001466,682.2,0.001538,650.1,0.001692,590.9,626.9
