Method,Noise_pct,Outlier_pct,Q,Jaccard
3C-FBI,0,0,0,1.0
3C-FBI,0,0,1,0.9996
3C-FBI,0,0,2,0.9992
3C-FBI,0,0,3,0.9988
3C-FBI,0,0,6,0.9981
3C-FBI,0,0,12,0.9959
3C-FBI,0,0,24,0.9889
3C-FBI,0,0,40,0.9645
3C-FBI,0,10,0,0.9999
3C-FBI,0,10,1,0.9996
3C-FBI,0,10,2,0.9992
3C-FBI,0,10,3,0.9988
3C-FBI,0,10,6,0.9977
3C-FBI,0,10,12,0.9947
3C-FBI,0,10,24,0.9771
3C-FBI,0,10,40,0.8285
3C-FBI,0,20,0,0.9999
3C-FBI,0,20,1,0.9996
3C-FBI,0,20,2,0.9992
3C-FBI,0,20,3,0.9987
3C-FBI,0,20,6,0.9978
3C-FBI,0,20,12,0.9934
3C-FBI,0,20,24,0.9557
3C-FBI,0,20,40,0.7324
3C-FBI,0,30,0,0.9998
3C-FBI,0,30,1,0.9994
3C-FBI,0,30,2,0.999
3C-FBI,0,30,3,0.9985
3C-FBI,0,30,6,0.9969
3C-FBI,0,30,12,0.9889
3C-FBI,0,30,24,0.9188
3C-FBI,0,30,40,0.6663
3C-FBI,0,40,0,0.9998
3C-FBI,0,40,1,0.9994
3C-FBI,0,40,2,0.9988
3C-FBI,0,40,3,0.9981
3C-FBI,0,40,6,0.9957
3C-FBI,0,40,12,0.9822
3C-FBI,0,40,24,0.8741
3C-FBI,0,40,40,0.6317
3C-FBI,0,50,0,0.9997
3C-FBI,0,50,1,0.9992
3C-FBI,0,50,2,0.9984
3C-FBI,0,50,3,0.9973
3C-FBI,0,50,6,0.9937
3C-FBI,0,50,12,0.9758
3C-FBI,0,50,24,0.8128
3C-FBI,0,50,40,0.5888
3C-FBI,0,60,0,0.9997
3C-FBI,0,60,1,0.9989
3C-FBI,0,60,2,0.9976
3C-FBI,0,60,3,0.9963
3C-FBI,0,60,6,0.9898
3C-FBI,0,60,12,0.9569
3C-FBI,0,60,24,0.7454
3C-FBI,0,60,40,0.5551
3C-FBI,0,70,0,0.9996
3C-FBI,0,70,1,0.9983
3C-FBI,0,70,2,0.996
3C-FBI,0,70,3,0.9939
3C-FBI,0,70,6,0.9846
3C-FBI,0,70,12,0.92
3C-FBI,0,70,24,0.6637
3C-FBI,0,70,40,0.5013
3C-FBI,1,0,0,0.9949
3C-FBI,1,0,1,0.9952
3C-FBI,1,0,2,0.9971
3C-FBI,1,0,3,0.9976
3C-FBI,1,0,6,0.9973
3C-FBI,1,0,12,0.9957
3C-FBI,1,0,24,0.9898
3C-FBI,1,0,40,0.9658
3C-FBI,1,10,0,0.9952
3C-FBI,1,10,1,0.995
3C-FBI,1,10,2,0.9967
3C-FBI,1,10,3,0.9973
3C-FBI,1,10,6,0.9967
3C-FBI,1,10,12,0.9944
3C-FBI,1,10,24,0.9757
3C-FBI,1,10,40,0.8254
3C-FBI,1,20,0,0.9945
3C-FBI,1,20,1,0.9947
3C-FBI,1,20,2,0.9965
3C-FBI,1,20,3,0.9969
3C-FBI,1,20,6,0.9964
3C-FBI,1,20,12,0.993
3C-FBI,1,20,24,0.9488
3C-FBI,1,20,40,0.7294
3C-FBI,1,30,0,0.9948
3C-FBI,1,30,1,0.994
3C-FBI,1,30,2,0.9956
3C-FBI,1,30,3,0.9966
3C-FBI,1,30,6,0.9962
3C-FBI,1,30,12,0.99
3C-FBI,1,30,24,0.9199
3C-FBI,1,30,40,0.6759
3C-FBI,1,40,0,0.9942
