Method,Noise_pct,Outlier_pct,Q,Jaccard_Min,Jaccard_Mean,Jaccard_Median,Jaccard_Max,Jaccard_Std
CIBICA,0,0,0,1.0,1.0,1.0,1.0,0.0
CIBICA,0,0,1,0.9986,0.9992,0.9992,0.9999,0.0003
CIBICA,0,0,2,0.9968,0.9986,0.9986,0.9998,0.0006
CIBICA,0,0,3,0.9952,0.9978,0.9979,0.9996,0.0009
CIBICA,0,0,4,0.9938,0.997,0.9971,0.9994,0.0012
CIBICA,0,0,6,0.9894,0.9958,0.9961,0.9994,0.0019
CIBICA,0,0,12,0.9791,0.9902,0.9907,0.9978,0.0041
CIBICA,0,0,24,0.9533,0.9767,0.9778,1.0,0.0088
CIBICA,0,0,40,0.8573,0.8891,0.8883,0.9357,0.0183
CIBICA,0,10,0,1.0,1.0,1.0,1.0,0.0
CIBICA,0,10,1,0.9986,0.9994,0.9994,1.0,0.0003
CIBICA,0,10,2,0.9976,0.9986,0.9987,0.9998,0.0006
CIBICA,0,10,3,0.9961,0.9979,0.998,0.9998,0.0008
CIBICA,0,10,4,0.9936,0.9969,0.997,0.9993,0.0013
CIBICA,0,10,6,0.99,0.9954,0.9955,0.9995,0.0018
CIBICA,0,10,12,0.9811,0.9897,0.9901,0.9972,0.0038
CIBICA,0,10,24,0.9485,0.9781,0.9794,1.0,0.0092
CIBICA,0,10,40,0.8515,0.8887,0.8883,0.9342,0.0176
CIBICA,0,20,0,1.0,1.0,1.0,1.0,0.0
CIBICA,0,20,1,0.9984,0.9993,0.9993,0.9999,0.0003
CIBICA,0,20,2,0.9968,0.9987,0.9988,0.9999,0.0006
CIBICA,0,20,3,0.9957,0.9978,0.9979,0.9996,0.0009
CIBICA,0,20,4,0.9914,0.9971,0.9973,0.9997,0.0014
CIBICA,0,20,6,0.9908,0.9956,0.9958,0.9994,0.002
CIBICA,0,20,12,0.9755,0.9904,0.9908,0.9987,0.0043
CIBICA,0,20,24,0.9382,0.9778,0.9801,0.9988,0.0109
CIBICA,0,20,40,0.8611,0.8884,0.8883,0.9353,0.0155
CIBICA,0,30,0,1.0,1.0,1.0,1.0,0.0
CIBICA,0,30,1,0.9986,0.9993,0.9993,0.9999,0.0003
CIBICA,0,30,2,0.997,0.9986,0.9987,0.9997,0.0006
CIBICA,0,30,3,0.9957,0.9979,0.9979,0.9998,0.0009
CIBICA,0,30,4,0.9941,0.9972,0.9975,0.9995,0.0011
CIBICA,0,30,6,0.9873,0.9952,0.9955,0.9992,0.0019
CIBICA,0,30,12,0.9768,0.9896,0.99,0.998,0.0043
CIBICA,0,30,24,0.9492,0.9781,0.9801,0.9954,0.0096
CIBICA,0,30,40,0.8573,0.8915,0.8894,0.9353,0.0167
