Method,Config,J_mean,J_std,AD_mean,RMSE_mean,Time_s,FPS
3C-FBI,GL70,0.8762,0.0489,0.7111,0.6132,0.006378,156.8
3C-FBI,GL72,0.8807,0.0463,0.7216,0.5697,0.005356,186.7
3C-FBI,GL74,0.8836,0.0461,0.7275,0.539,0.005392,185.4
3C-FBI,GL76,0.8889,0.044,0.7397,0.4948,0.005436,183.9
3C-FBI,GL78,0.8926,0.0449,0.7353,0.4651,0.005628,177.7
3C-FBI,GL80,0.8949,0.0437,0.7567,0.4312,0.005812,172.0
3C-FBI,GL82,0.8975,0.0467,0.7372,0.4183,0.006097,164.0
3C-FBI,GL84,0.8954,0.0569,0.7649,0.4394,0.006393,156.4
3C-FBI,GL86,0.8872,0.0728,0.7977,0.5057,0.006836,146.3
3C-FBI,Med3,0.7946,0.0657,1.2129,1.2524,0.005782,173.0
3C-FBI,Med5,0.836,0.0713,1.211,0.8103,0.005721,174.8
3C-FBI,Med7,0.8686,0.067,1.0341,0.5064,0.005451,183.5
3C-FBI,Med9,0.8759,0.0556,0.9712,0.4295,0.005442,183.8
3C-FBI,Med11,0.8732,0.0532,0.8874,0.4998,0.005354,186.8
3C-FBI,Med13,0.846,0.0675,0.8238,0.7883,0.005122,195.2
3C-FBI,Med15,0.8023,0.0835,0.8402,1.1001,0.004923,203.1
3C-FBI,Med17,0.7482,0.0931,0.865,1.4711,0.004659,214.6
3C-FBI,Med19,0.6782,0.1081,0.9227,1.9497,0.004482,223.1
3C-FBI-v3-c3,GL70,0.8725,0.0494,0.761,0.6252,0.0054,185.2
3C-FBI-v3-c3,GL72,0.878,0.0487,0.769,0.5789,0.005465,183.0
3C-FBI-v3-c3,GL74,0.882,0.0475,0.7747,0.5424,0.005508,181.6
3C-FBI-v3-c3,GL76,0.8887,0.0448,0.7608,0.4908,0.005549,180.2
3C-FBI-v3-c3,GL78,0.892,0.0442,0.7689,0.456,0.005698,175.5
3C-FBI-v3-c3,GL80,0.8951,0.0459,0.7749,0.4227,0.005914,169.1
3C-FBI-v3-c3,GL82,0.8963,0.0477,0.7691,0.4213,0.006218,160.8
3C-FBI-v3-c3,GL84,0.8929,0.0575,0.8047,0.441,0.006495,154.0
3C-FBI-v3-c3,GL86,0.8886,0.0718,0.8061,0.4786,0.006915,144.6
3C-FBI-v3-c3,Med3,0.7931,0.0673,1.1941,1.2873,0.00582,171.8
3C-FBI-v3-c3,Med5,0.8307,0.0698,1.2403,0.8763,0.00569,175.7
3C-FBI-v3-c3,Med7,0.8679,0.0693,1.0458,0.5379,0.005523,181.1
3C-FBI-v3-c3,Med9,0.8758,0.0627,0.9865,0.4487,0.005503,181.7
3C-FBI-v3-c3,Med11,0.8718,0.0574,0.8944,0.5206,0.005418,184.6
3C-FBI-v3-c3,Med13,0.8481,0.0657,0.8345,0.761,0.005198,192.4
3C-FBI-v3-c3,Med15,0.8026,0.0802,0.8729,1.0849,0.004977,200.9
3C-FBI-v3-c3,Med17,0.7465,0.0923,0.905,1.4759,0.004758,210.2
3C-FBI-v3-c3,Med19,0.68,0.1059,0.9345,1.9326,0.004584,218.2
3C-FBI-v3-c5,GL70,0.8661,0.0495,0.9219,0.5929,0.006182,161.8
3C-FBI-v3-c5,GL72,0.873,0.0476,0.8977,0.5457,0.006285,159.1
3C-FBI-v3-c5,GL74,0.8765,0.0455,0.9067,0.5048,0.00632,158.2
3C-FBI-v3-c5,GL76,0.8829,0.0437,0.8885,0.4537,0.006346,157.6
3C-FBI-v3-c5,GL78,0.8854,0.0449,0.8886,0.4353,0.00648,154.3
3C-FBI-v3-c5,GL80,0.8886,0.0464,0.8809,0.4028,0.006741,148.3
3C-FBI-v3-c5,GL82,0.89,0.0519,0.8536,0.4135,0.007017,142.5
3C-FBI-v3-c5,GL84,0.8873,0.0586,0.8536,0.438,0.007287,137.2
3C-FBI-v3-c5,GL86,0.8808,0.0727,0.8812,0.4866,0.007763,128.8
3C-FBI-v3-c5,Med3,0.7844,0.0656,1.2079,1.3758,0.006655,150.3
3C-FBI-v3-c5,Med5,0.8263,0.0683,1.2142,0.9625,0.006476,154.4
3C-FBI-v3-c5,Med7,0.8628,0.0647,1.0689,0.6207,0.006352,157.4
3C-FBI-v3-c5,Med9,0.8753,0.0632,0.9977,0.4782,0.006348,157.5
3C-FBI-v3-c5,Med11,0.876,0.0573,0.9346,0.4694,0.006233,160.4
3C-FBI-v3-c5,Med13,0.8504,0.0679,0.9439,0.7105,0.005991,166.9
3C-FBI-v3-c5,Med15,0.8065,0.0777,0.9363,1.0368,0.005743,174.1
3C-FBI-v3-c5,Med17,0.7505,0.0917,0.9082,1.4273,0.005529,180.8
3C-FBI-v3-c5,Med19,0.6812,0.1049,0.9598,1.9061,0.005347,187.0
