Method,Outliers,J_mean,J_std,AD_mean,R_mean,Time_s
3C-FBI,0,0.9895,0.0062,0.686,0.3849,0.004139
3C-FBI,1,0.9896,0.0056,0.6881,0.3634,0.004022
3C-FBI,2,0.9897,0.0061,0.648,0.3852,0.003874
3C-FBI,3,0.9878,0.008,0.7634,0.4768,0.003798
3C-FBI,4,0.9892,0.0064,0.7301,0.3577,0.003772
3C-FBI,5,0.9881,0.0076,0.7385,0.465,0.004129
3C-FBI-v3-c3,0,0.9914,0.0084,0.5246,0.3464,0.004175
3C-FBI-v3-c3,1,0.9927,0.0069,0.4714,0.2625,0.004054
3C-FBI-v3-c3,2,0.9914,0.0087,0.5376,0.3195,0.003934
3C-FBI-v3-c3,3,0.9916,0.0073,0.5284,0.3165,0.003894
3C-FBI-v3-c3,4,0.9911,0.0082,0.5768,0.3339,0.003833
3C-FBI-v3-c3,5,0.991,0.0079,0.5691,0.3308,0.004099
3C-FBI-v3-c5,0,0.9924,0.0064,0.4873,0.29,0.004974
3C-FBI-v3-c5,1,0.9932,0.0056,0.4353,0.2456,0.004819
3C-FBI-v3-c5,2,0.9927,0.0064,0.461,0.265,0.004727
3C-FBI-v3-c5,3,0.9918,0.0063,0.5157,0.3097,0.004657
3C-FBI-v3-c5,4,0.9918,0.0067,0.5347,0.2956,0.004602
3C-FBI-v3-c5,5,0.9918,0.0067,0.5182,0.3073,0.004979
