Method,Noise_pct,Outlier_pct,q,J_mean,J_std,Time_s
3C-FBI,0,0,0,1.0,0.0,0.008539
3C-FBI,0,0,1,0.985,0.0007,0.008124
3C-FBI,0,0,2,0.2002,0.0004,0.008361
3C-FBI,0,0,3,0.2085,0.0911,0.007125
3C-FBI,0,0,6,0.0381,0.0727,0.006392
3C-FBI,0,0,12,0.0038,0.0166,0.006394
3C-FBI,0,0,24,0.0,0.0,0.006423
3C-FBI,0,0,40,0.0,0.0,0.006374
3C-FBI,0,10,0,1.0,0.0,0.008932
3C-FBI,0,10,1,0.985,0.0006,0.009082
3C-FBI,0,10,2,0.2001,0.0004,0.008838
3C-FBI,0,10,3,0.1841,0.0823,0.006882
3C-FBI,0,10,6,0.0359,0.0826,0.006559
3C-FBI,0,10,12,0.0061,0.0206,0.006358
3C-FBI,0,10,24,0.0,0.0,0.006461
3C-FBI,0,10,40,0.0,0.0,0.006197
3C-FBI,0,20,0,1.0,0.0,0.008863
3C-FBI,0,20,1,0.985,0.0006,0.00897
3C-FBI,0,20,2,0.2001,0.0004,0.008391
3C-FBI,0,20,3,0.1855,0.083,0.006668
3C-FBI,0,20,6,0.0465,0.0994,0.006261
3C-FBI,0,20,12,0.0023,0.013,0.00627
3C-FBI,0,20,24,0.0,0.0,0.006242
3C-FBI,0,20,40,0.0,0.0,0.006237
3C-FBI,0,30,0,1.0,0.0,0.00882
3C-FBI,0,30,1,0.985,0.0006,0.009067
3C-FBI,0,30,2,0.2001,0.0004,0.008578
3C-FBI,0,30,3,0.197,0.0978,0.006972
3C-FBI,0,30,6,0.0413,0.0977,0.006013
3C-FBI,0,30,12,0.0023,0.013,0.006211
3C-FBI,0,30,24,0.0,0.0,0.006149
3C-FBI,0,30,40,0.0,0.0,0.00592
3C-FBI,0,40,0,1.0,0.0,0.008709
3C-FBI,0,40,1,0.985,0.0007,0.008878
3C-FBI,0,40,2,0.2001,0.0004,0.008161
3C-FBI,0,40,3,0.1904,0.0826,0.006457
3C-FBI,0,40,6,0.0551,0.1105,0.006025
3C-FBI,0,40,12,0.0053,0.0194,0.006062
3C-FBI,0,40,24,0.0,0.0,0.006084
3C-FBI,0,40,40,0.0,0.0,0.005874
3C-FBI,0,50,0,1.0,0.0,0.008466
3C-FBI,0,50,1,0.9851,0.0006,0.008664
3C-FBI,0,50,2,0.2001,0.0004,0.008065
