method,best_config,Jaccard
CIBICA,GL82,0.9127821796629508
CIBICA,GL82,0.9073027661698242
CIBICA,GL82,0.9076488786225587
CIBICA,GL82,0.9251829530261596
CIBICA,GL82,0.8939072446941082
CIBICA,GL82,0.8536527726312972
CIBICA,GL82,0.8983947840543496
CIBICA,GL82,0.8931906870894623
CIBICA,GL82,0.925963792701913
CIBICA,GL82,0.9256582528803817
CIBICA,GL82,0.9092685339837602
CIBICA,GL82,0.9283561075325639
CIBICA,GL82,0.9247176856077985
CIBICA,GL82,0.8671075553056758
CIBICA,GL82,0.9180062291777898
CIBICA,GL82,0.8859518524937785
CIBICA,GL82,0.8918205132912541
CIBICA,GL82,0.9073460035304999
CIBICA,GL82,0.9386246173877236
CIBICA,GL82,0.8831132552761669
CIBICA,GL82,0.8932407703659141
CIBICA,GL82,0.7467945525684936
CIBICA,GL82,0.8416766603893807
CIBICA,GL82,0.8403089317999172
CIBICA,GL82,0.9172077643927937
CIBICA,GL82,0.9282565329147304
CIBICA,GL82,0.9082606305153372
CIBICA,GL82,0.8905766361910057
CIBICA,GL82,0.9237184542821818
CIBICA,GL82,0.8948643166362744
CIBICA,GL82,0.933704997495489
CIBICA,GL82,0.9237661581739561
CIBICA,GL82,0.9130563527377307
CIBICA,GL82,0.9099710378434364
CIBICA,GL82,0.9223359982759526
CIBICA,GL82,0.8919461722868524
CIBICA,GL82,0.9098860339857809
CIBICA,GL82,0.8551933208947423
CIBICA,GL82,0.94508691493906
CIBICA,GL82,0.8944249227805777
CIBICA,GL82,0.9252800960456384
CIBICA,GL82,0.8879078395866052
CIBICA,GL82,0.9879940319778239
CIBICA,GL82,0.9575495379501735
CIBICA,GL82,0.7991785332037513
CIBICA,GL82,0.8429062438839315
CIBICA,GL82,0.8431933691083887
CIBICA,GL82,0.8675560161378996
CIBICA,GL82,0.8538715493475487
CIBICA,GL82,0.9460468924217433
CIBICA,GL82,0.9502203592507331
CIBICA,GL82,0.952375012975144
CIBICA,GL82,0.9007711863137374
CIBICA,GL82,0.8798664413701796
CIBICA,GL82,0.8941495788163994
CIBICA,GL82,0.8924773954441864
CIBICA,GL82,0.929281810229426
CIBICA,GL82,0.9223811640143061
CIBICA,GL82,0.9333182761451384
CIBICA,GL82,0.9450905382780018
CIBICA,GL82,0.9304810922570275
CIBICA,GL82,0.920942110847559
CIBICA,GL82,0.9720442297087729
CIBICA,GL82,0.9795614415799242
CIBICA,GL82,0.920922246404123
CIBICA,GL82,0.9269387792081604
CIBICA,GL82,0.9459606316602076
CIBICA,GL82,0.9100834887171207
CIBICA,GL82,0.8659193001937024
CIBICA,GL82,0.8890378042545792
CIBICA,GL82,0.9040369310887599
CIBICA,GL82,0.9057747422805995
CIBICA,GL82,0.9042813758875765
CIBICA,GL82,0.8850437147193
CIBICA,GL82,0.8979546354741571
CIBICA,GL82,0.9476130513649534
CIBICA,GL82,0.8331038452754179
CIBICA,GL82,0.7471848203444268
CIBICA,GL82,0.7612568459248342
CIBICA,GL82,0.8385296408793591
CIBICA,GL82,0.9800383397932849
CIBICA,GL82,0.9620477990998462
CIBICA,GL82,0.9438909509807433
CIBICA,GL82,0.9706075077694926
CIBICA,GL82,0.8580844948403779
CIBICA,GL82,0.901283775493871
CIBICA,GL82,0.8595475081926077
CIBICA,GL82,0.9316600441136417
CIBICA,GL82,0.9220771591843683
CIBICA,GL82,0.9108424871456829
CIBICA,GL82,0.9220625392319046
CIBICA,GL82,0.8932767570759146
CIBICA,GL82,0.8796957070609673
CIBICA,GL82,0.8787560070072876
CIBICA,GL82,0.923414713186465
CIBICA,GL82,0.9030688525060916
CIBICA,GL82,0.9337272012024297
CIBICA,GL82,0.9677524157990242
CIBICA,GL82,0.9125960050129583
CIBICA,GL82,0.8710200280503758
CIBICA,GL82,0.8795149051647831
CIBICA,GL82,0.856251122302206
CIBICA,GL82,0.8587255313002362
CIBICA,GL82,0.8720143024500956
CIBICA,GL82,0.901333543498282
CIBICA,GL82,0.9465953180975006
CIBICA,GL82,0.9194211894590115
CIBICA,GL82,0.9571182954838058
CIBICA,GL82,0.9390556214175111
CIBICA,GL82,0.8955845206614185
CIBICA,GL82,0.9230140291840381
CIBICA,GL82,0.8775754765570768
CIBICA,GL82,0.8379281092623595
CIBICA,GL82,0.8567955373054387
CIBICA,GL82,0.9246816978170735
CIBICA,GL82,0.9411797150424231
CIBICA,GL82,0.8456129150057001
CIBICA,GL82,0.8774599975426303
CIBICA,GL82,0.8981245822783245
CIBICA,GL82,0.9199183764095612
CIBICA,GL82,0.935362656291512
CIBICA,GL82,0.9252628958364425
CIBICA,GL82,0.9154747366909545
CIBICA,GL82,0.9377784592859704
CIBICA,GL82,0.9129868070848615
CIBICA,GL82,0.7490541028713986
CIBICA,GL82,0.7897363011788934
CIBICA,GL82,0.8871364741820036
CIBICA,GL82,0.9338630057374083
CIBICA,GL82,0.8979813332231156
CIBICA,GL82,0.9291737490693277
CIBICA,GL82,0.8965421002520643
CIBICA,GL82,0.9166132791581644
CIBICA,GL82,0.8494499528896524
CIBICA,GL82,0.8840177971542662
CIBICA,GL82,0.9688408796641652
CIBICA,GL82,0.8688118081505626
CIBICA,GL82,0.806911335284685
CIBICA,GL82,0.8690754568053032
CIBICA,GL82,0.8869816820692003
CIBICA,GL82,0.9000688724730154
CIBICA,GL82,0.8749285157866535
CIBICA,GL82,0.9106272384562114
CIBICA,GL82,0.9247859448052989
HOUGH,GL70,0.8043648098549321
HOUGH,GL70,0.9253122063989082
HOUGH,GL70,0.6650865444707852
HOUGH,GL70,0.7004226988542892
