Method_A,Method_B,Mean_A,Mean_B,Mean_diff (A-B),W_statistic,p_value,significant (p<0.05)
CIBICA,HOUGH,0.8514217487267947,0.8123605462161368,0.03906120251065781,3340.0,0.00017733428710463178,yes
CIBICA,RHT,0.8514217487267947,0.7881502091104813,0.06327153961631338,42.0,5.347170882877927e-25,yes
CIBICA,RCD,0.8514217487267947,0.8254883527829602,0.02593339594383448,886.0,5.460492932699449e-18,yes
CIBICA,QI,0.8514217487267947,0.8482984304429888,0.0031233182838058537,3145.0,3.500691326854546e-05,yes
HOUGH,RHT,0.8123605462161368,0.7881502091104813,0.024210337105655566,3418.0,0.0003259694122892388,yes
HOUGH,RCD,0.8123605462161368,0.8254883527829602,-0.01312780656682333,4940.0,0.5765676966480844,no
HOUGH,QI,0.8123605462161368,0.8482984304429888,-0.03593788422685196,3509.0,0.0006442784453866143,yes
RHT,RCD,0.7881502091104813,0.8254883527829602,-0.037338143672478896,82.0,1.2240727903360478e-24,yes
RHT,QI,0.7881502091104813,0.8482984304429888,-0.06014822133250752,53.0,6.719082570644215e-25,yes
RCD,QI,0.8254883527829602,0.8482984304429888,-0.022810077660028627,1193.0,9.663099731630667e-16,yes
