Method_A,Method_B,Mean_A,Mean_B,Delta,W_stat,p_value,Stars
CIBICA,HOUGH,0.8976,0.8067,0.0909,144.0,4.3641920683151046e-24,***
CIBICA,RHT,0.8976,0.8088,0.0887,47.0,5.932452216242344e-25,***
CIBICA,RCD,0.8976,0.8609,0.0366,969.0,2.2951549236185832e-17,***
CIBICA,QI,0.8976,0.8956,0.002,4395.0,0.09990772312883202,ns
HOUGH,RHT,0.8067,0.8088,-0.0021,4890.0,0.5104607301504751,ns
HOUGH,RCD,0.8067,0.8609,-0.0542,920.0,9.864952399138937e-18,***
HOUGH,QI,0.8067,0.8956,-0.0889,179.0,8.885178988882449e-24,***
RHT,RCD,0.8088,0.8609,-0.0521,176.0,8.361476575848907e-24,***
RHT,QI,0.8088,0.8956,-0.0867,69.0,9.358594601459873e-25,***
RCD,QI,0.8609,0.8956,-0.0346,1230.0,1.758700417989754e-15,***
