n_triplets,iteration,time_s,fps,mean_jaccard
500,1,7.657584125,338.4879562129525,0.8514568318923004
500,2,7.616539832999997,340.3120126503776,0.8518001101134021
500,3,7.590928792,341.46019163447846,0.8518161488587958
500,4,7.655994042000003,338.55825720090064,0.8515155759669563
500,5,7.6991586249999955,336.6601633045327,0.8523690143039754
500,6,7.626470417000007,339.8688853787758,0.8510502276403544
500,7,7.659981999999999,338.3819961979023,0.8519564147186126
500,8,7.720111875000001,335.74642984043544,0.851608450224327
500,9,7.742288000000002,334.78475613410393,0.8515992209870076
500,10,7.675183458999996,337.7117972288461,0.8521750461974968
1000,1,8.138676625000002,318.4792957663432,0.8522543872383206
1000,2,8.128533042,318.87672555517423,0.8526160728374762
1000,3,8.090360916999998,320.3812569787238,0.8520521021521785
1000,4,8.158884249999986,317.6904979378773,0.8519681963046077
1000,5,8.283787625000002,312.9003443035515,0.8526565329326511
1000,6,8.295332624999986,312.4648663500705,0.8519605849331435
1000,7,8.340397083,310.7765702526564,0.8524260611828306
1000,8,8.285167917000024,312.84821574727204,0.851848788948696
1000,9,8.221439250000003,315.2732655660016,0.8520804423644
1000,10,8.263285292000006,313.6766925510138,0.8523483811475181
2000,1,9.396174375000015,275.85694949387266,0.8527776724978426
2000,2,9.335793332999998,277.6411074608779,0.8517307495931417
2000,3,9.411777,275.3996402592199,0.8520889251312257
2000,4,9.343004457999996,277.4268182844103,0.8527053080372395
2000,5,9.473578707999991,273.6030469468922,0.8523523377427422
2000,6,9.463773374999988,273.88652467599934,0.8523670847591349
2000,7,9.219006457999996,281.15828010411417,0.8524083207395889
2000,8,9.177120958000017,282.4415208062026,0.8527108870962746
2000,9,9.342749333000029,277.43439405407753,0.8521519135664569
2000,10,9.315405082999973,278.24876931334273,0.8522899976708459
5000,1,19.73007504200001,131.37304315783547,0.8519307729782336
5000,2,18.509131375000038,140.03898656751497,0.852478417275193
5000,3,16.80828270899997,154.2096860741233,0.8524749898516715
5000,4,18.043350291000024,143.65403088654122,0.8524226390903336
5000,5,15.661006042000054,165.50660877396467,0.8523999839179518
5000,6,15.87928012499998,163.2315810034243,0.852258757088869
5000,7,15.551882833000036,166.66792232384574,0.8521553423607461
5000,8,16.80005320800001,154.28522564236386,0.8522430969293724
5000,9,17.84357662499997,145.2623571200656,0.8526964075091361
5000,10,16.32697754200001,158.75565415168,0.852437273497517
10000,1,23.182353166999974,111.80918439676374,0.852168702814859
10000,2,22.29160462499999,116.27695913344331,0.8524703039665873
10000,3,22.787257166000018,113.74778373359575,0.8519405333855585
10000,4,22.61921212499999,114.59285078878499,0.8523362569864456
10000,5,22.33631608299993,116.04420309814472,0.852529409631952
10000,6,22.395230583000057,115.73892889352769,0.8521116595304795
10000,7,22.334432624999977,116.05398908135473,0.8525762360879872
10000,8,23.07295616600004,112.3393110684071,0.8525332479797508
10000,9,23.34569895800007,111.02687500010691,0.8524612147211521
10000,10,22.513812167000083,115.12932509045528,0.852441477543438
