method,config,Jaccard
CIBICA,GL84,0.915279005768218
CIBICA,GL84,0.9126911019794283
CIBICA,GL84,0.9074336826112614
CIBICA,GL84,0.945291601281206
CIBICA,GL84,0.900064645557353
CIBICA,GL84,0.8582770556635078
CIBICA,GL84,0.893182657929851
CIBICA,GL84,0.9026013944233644
CIBICA,GL84,0.9298315783491465
CIBICA,GL84,0.9204720918461416
CIBICA,GL84,0.904722794776281
CIBICA,GL84,0.904444234381744
CIBICA,GL84,0.9269428334420536
CIBICA,GL84,0.8555050475101851
CIBICA,GL84,0.9241845299961619
CIBICA,GL84,0.8709717685303628
CIBICA,GL84,0.8931241990764435
CIBICA,GL84,0.913087530694012
CIBICA,GL84,0.9398290239345384
CIBICA,GL84,0.8847470171852024
CIBICA,GL84,0.8328759637258172
CIBICA,GL84,0.7831613174637508
CIBICA,GL84,0.8442113891732583
CIBICA,GL84,0.8825961507341012
CIBICA,GL84,0.9192835684817273
CIBICA,GL84,0.9168741867793004
CIBICA,GL84,0.9066223156539492
CIBICA,GL84,0.8930077590862865
CIBICA,GL84,0.941761670736808
CIBICA,GL84,0.8951076153175233
CIBICA,GL84,0.9173805513994935
CIBICA,GL84,0.8429931508873648
CIBICA,GL84,0.9136329555691296
CIBICA,GL84,0.889289276044807
CIBICA,GL84,0.9166405680802161
CIBICA,GL84,0.8930210240978669
CIBICA,GL84,0.9202488637338282
CIBICA,GL84,0.864518282468093
CIBICA,GL84,0.9068145164840998
CIBICA,GL84,0.9130760224300521
CIBICA,GL84,0.9239471887984678
CIBICA,GL84,0.9137577790602325
CIBICA,GL84,0.9897206273936636
CIBICA,GL84,0.9563413369643792
CIBICA,GL84,0.8332257443406524
CIBICA,GL84,0.8478605498332308
CIBICA,GL84,0.857855300662592
CIBICA,GL84,0.8670804060150326
CIBICA,GL84,0.8647469614403838
CIBICA,GL84,0.9428825428228353
CIBICA,GL84,0.9370127681497621
CIBICA,GL84,0.9548515041696783
CIBICA,GL84,0.9023189174156948
CIBICA,GL84,0.8145914765351466
CIBICA,GL84,0.8975829889737998
CIBICA,GL84,0.8917895667931084
CIBICA,GL84,0.9267833893019947
CIBICA,GL84,0.9227560946729378
CIBICA,GL84,0.9199456108400299
CIBICA,GL84,0.9631580729499981
CIBICA,GL84,0.9057654688820336
CIBICA,GL84,0.9182396470839503
CIBICA,GL84,0.9677570429294285
CIBICA,GL84,0.8924853502966285
CIBICA,GL84,0.923905242600999
CIBICA,GL84,0.9208427114494494
CIBICA,GL84,0.9507671567668687
CIBICA,GL84,0.9235315944445655
CIBICA,GL84,0.8608321480547568
CIBICA,GL84,0.8923761502178744
CIBICA,GL84,0.9065986298158354
CIBICA,GL84,0.9220478449389496
CIBICA,GL84,0.9079430710377503
CIBICA,GL84,0.8895810543085781
CIBICA,GL84,0.905445024871332
CIBICA,GL84,0.940429775834325
CIBICA,GL84,0.8249828753565953
CIBICA,GL84,0.6357596711546901
CIBICA,GL84,0.6858990841694744
CIBICA,GL84,0.6687095284946682
CIBICA,GL84,0.9861033046382393
CIBICA,GL84,0.959005921081706
CIBICA,GL84,0.9420310140398026
CIBICA,GL84,0.9731073790787922
CIBICA,GL84,0.8539755092435892
CIBICA,GL84,0.8875394981810746
CIBICA,GL84,0.8665622617935822
CIBICA,GL84,0.9412196257364116
CIBICA,GL84,0.9358976644214693
CIBICA,GL84,0.9138091580795953
