,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
05571583_2020023_Feet_L_S_0,0.8400899301540387,0.8700564648534511,0.868459751345899,0.9094624415034124,0.9051738480209081,0.8958445486764618,0.9112751429126167,0.9094427135601995,0.9142121820224559,0.6555091634003465,0.6834221451194626,0.7270459949367288,0.7341544923234709,0.7662643558715485,0.856637416244717,0.8458445802321513,0.8220452384755887,0.8065791200069933
05571583_2020023_Feet_L_S_1,0.8623241807406671,0.8823186716464216,0.8829448264364839,0.8827035249459136,0.8883079336691652,0.9041268963960926,0.9099958856216002,0.9141430558116298,0.9143250765671341,0.6828883038880822,0.7062804706801267,0.7865225856915602,0.8666299052589216,0.9105345910619703,0.8866145573163164,0.8520828370448453,0.8588221493218459,0.8306710202855321
05571583_2020023_Feet_L_S_2,0.7605024290977834,0.7519457416949593,0.8123110702848203,0.8291097079526938,0.8376061170157365,0.8736049017266047,0.8731842236299624,0.9001687414241138,0.8498402707580094,0.7057169668722959,0.7757318145906089,0.7985325693913891,0.8562384109791851,0.8177465452356194,0.8547591673032323,0.8736489429158607,0.8458731272593621,0.807066367037773
05571583_2020023_Feet_L_S_3,0.9023933668636535,0.9033691823279356,0.9062593958508952,0.9147718722399444,0.9137814120419563,0.9288326441238964,0.9259114490655972,0.940662458566207,0.9502494960403338,0.6774637072549485,0.7424628992636413,0.7852397937698897,0.8720240054060594,0.9285392819599476,0.9121153807900414,0.9063161892962786,0.822050106979712,0.7889997679115809
05571583_2020023_Feet_R_S_0,0.7988753491220183,0.8137465824624365,0.8150394585371641,0.7784620822001812,0.8012471325729756,0.8060747844849812,0.837614782604806,0.8498225243340707,0.8493722919028343,0.7031114940360071,0.7500915702032577,0.7944251154093527,0.850440785644154,0.9003596342110846,0.9008770057098271,0.8822683348045848,0.862845767715596,0.8024172990642696
05571583_2020023_Feet_R_S_1,0.7954186992497181,0.7840365714402211,0.8345405543969744,0.8504601872754239,0.8375017888475482,0.8303432896939407,0.8412487943276409,0.8635018691290607,0.8561534660692875,0.8002514739731096,0.8413343151320275,0.8624251033698603,0.8773185331881194,0.9403271578415777,0.8359574409430585,0.78300026443868,0.7265593066571655,0.6492077192864321
05571583_2020023_Feet_R_S_2,0.8533375470607857,0.8607001444089815,0.8713716571371831,0.8838468930275919,0.9029221187755266,0.9002577260877926,0.9044198244197161,0.9016236475463186,0.8990108710934998,0.8481234691760068,0.8500117118715133,0.8805600133784887,0.8668626907250704,0.879718481124145,0.8021878483962024,0.7760647957789683,0.7243286655852076,0.6418203125183126
05571583_2020023_Feet_R_S_3,0.8324765072471355,0.8309441523358063,0.8603180678505509,0.870044079368372,0.87540260817703,0.8765258301671417,0.9064776453712184,0.8857742213869356,0.889876738173581,0.6554499595601821,0.6956751574375915,0.8684881524987627,0.9041855210781696,0.923329224506478,0.8454696416510289,0.7766007304275658,0.7232549014707133,0.6573457881506346
05723258_20200601_Feet_L_S_0,0.9122308479078857,0.9043972817191677,0.9121031907353784,0.88680422735977,0.8886004526646337,0.9126281621061225,0.9165255740933429,0.9094515383425478,0.8953133621731709,0.7384971823771441,0.7819280209274027,0.8514374251122906,0.8956317128469714,0.8727223157066785,0.8139074951703967,0.7469423864592958,0.6889849704855533,0.6219132210194955
05723258_20200601_Feet_L_S_1,0.9122468720939801,0.9312037889984487,0.9158408597195324,0.9284160214478011,0.9068095474961332,0.8970171795626195,0.8699128404331524,0.8157381601747278,0.8043556728976605,0.8172450051894045,0.8388164963279572,0.9143805472911483,0.9091694679530302,0.8976703498097024,0.8465110863048715,0.7941014680419842,0.7170330747504569,0.6582101736508291
