,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
05571583_2020023_Feet_L_S_0,0.8786441592750485,0.8786441592750485,0.8786441592750485,0.8786441592750485,0.8786441592750485,0.8786441592750485,0.8786441592750485,0.8786441592750485,0.8786441592750485,0.6882144720565765,0.6882144720565765,0.7981658965863255,0.7842188530425082,0.7981658965863255,0.8786441592750485,0.8786441592750485,0.8786441592750485,0.822700707163605
05571583_2020023_Feet_L_S_1,0.8747210158903312,0.8747210158903312,0.8079787223652326,0.8747210158903312,0.8112212413101647,0.8784403313617439,0.8747210158903312,0.8784403313617439,0.9148703189233135,0.7017473932561274,0.8138608821195324,0.8138608821195324,0.9072792576941469,0.9072792576941469,0.8747210158903312,0.8784403313617439,0.8784403313617439,0.8511341163123138
05571583_2020023_Feet_L_S_2,0.8952905582459033,0.8952905582459033,0.8952905582459033,0.8952905582459033,0.8952905582459033,0.8952905582459033,0.8952905582459033,0.8952905582459033,0.8952905582459033,0.7890354820970945,0.7890354820970945,0.9119160187811147,0.8952905582459033,0.8952905582459033,0.8952905582459033,0.8220940404335287,0.8306127410511432,0.8251361010039361
05571583_2020023_Feet_L_S_3,0.8475114656136898,0.8475114656136898,0.8475114656136898,0.8475114656136898,0.8475114656136898,0.9390318427209478,0.9390318427209478,0.9390318427209478,0.9390318427209478,0.7284231114542908,0.8447984014499469,0.8447984014499469,0.9390318427209478,0.9390318427209478,0.8475114656136898,0.8475114656136898,0.8475114656136898,0.7004226988542892
05571583_2020023_Feet_R_S_0,0.7439449780316123,0.8948159348615137,0.8948159348615137,0.8948159348615137,0.8948159348615137,0.8644828897133937,0.8644828897133937,0.8644828897133937,0.8644828897133937,0.7331727885139387,0.7512869311097895,0.7512869311097895,0.8895166287394254,0.8895166287394254,0.8638768091950139,0.8644828897133937,0.8644828897133937,0.7439449780316123
05571583_2020023_Feet_R_S_1,0.8567342400766353,0.8567342400766353,0.8567342400766353,0.8567342400766353,0.8567342400766353,0.8215538214343885,0.8567342400766353,0.8567342400766353,0.8215538214343885,0.805756678127212,0.9131504991744087,0.9131504991744087,0.8392528977200351,0.9131504991744087,0.8567342400766353,0.8567342400766353,0.6939547344620746,0.6939547344620746
05571583_2020023_Feet_R_S_2,0.8552179918290395,0.8552179918290395,0.8552179918290395,0.8552179918290395,0.8552179918290395,0.8552179918290395,0.8552179918290395,0.8552179918290395,0.8552179918290395,0.8560355176865189,0.8560355176865189,0.8560355176865189,0.8560355176865189,0.8552179918290395,0.8552179918290395,0.6927265733815218,0.6927265733815218,0.6927265733815218
05571583_2020023_Feet_R_S_3,0.9096071222751235,0.9096071222751235,0.9096071222751235,0.9096071222751235,0.9096071222751235,0.9096071222751235,0.9096071222751235,0.9096071222751235,0.9096071222751235,0.7346610667740824,0.7565248431267149,0.8871177217844791,0.8307370003580618,0.9096071222751235,0.8537765024207141,0.73678176904285,0.73678176904285,0.73678176904285
05723258_20200601_Feet_L_S_0,0.9060101207653908,0.9060101207653908,0.9060101207653908,0.9060101207653908,0.9060101207653908,0.9060101207653908,0.9060101207653908,0.9060101207653908,0.880015909884904,0.7612796063329941,0.8541135692841517,0.9060101207653908,0.9060101207653908,0.777264977820168,0.777264977820168,0.777264977820168,0.6295846320343361,0.6295846320343361
05723258_20200601_Feet_L_S_1,0.9232861016047326,0.9232861016047326,0.9232861016047326,0.9232861016047326,0.9232861016047326,0.9232861016047326,0.9232861016047326,0.9232861016047326,0.8572633297605736,0.8633410965442181,0.9232861016047326,0.9232861016047326,0.9232861016047326,0.8025863385806888,0.8025863385806888,0.8025863385806888,0.8025863385806888,0.650094934250358
05723258_20200601_Feet_L_S_2,0.9288016540213057,0.9288016540213057,0.8936913057952357,0.9288016540213057,0.8936913057952357,0.8936913057952357,0.8936913057952357,0.8936913057952357,0.8936913057952357,0.8448871257748608,0.8936913057952357,0.8936913057952357,0.9288016540213057,0.9288016540213057,0.9288016540213057,0.7922525852538728,0.7922525852538728,0.641724594055637
05723258_20200601_Feet_L_S_3,0.8600184129953493,0.8600184129953493,0.8830293933348577,0.8830293933348577,0.8830293933348577,0.8830293933348577,0.8830293933348577,0.8830293933348577,0.8830293933348577,0.8868544011145999,0.8868544011145999,0.8830293933348577,0.8830293933348577,0.943919431411374,0.7800987036457636,0.7800987036457636,0.7800987036457636,0.6318799499530684
05723258_20200601_Feet_R_S_0,0.737574906297009,0.8951884847364842,0.8951884847364842,0.8951884847364842,0.8951884847364842,0.8951884847364842,0.8951884847364842,0.8864344338755772,0.8864344338755772,0.758416635809544,0.7604851587875512,0.8864344338755772,0.8864344338755772,0.8030674745639506,0.737574906297009,0.737574906297009,0.737574906297009,0.5827752346050442
05723258_20200601_Feet_R_S_1,0.942892523957892,0.942892523957892,0.942892523957892,0.8659499191257836,0.8659499191257836,0.7964002489432501,0.8306120741578542,0.7964002489432501,0.7810605526743716,0.7810605526743716,0.7964002489432501,0.942892523957892,0.942892523957892,0.7998723147361941,0.7998723147361941,0.7998723147361941,0.6319978783100794,0.6319978783100794
05723258_20200601_Feet_R_S_2,0.7928270177201228,0.7928270177201228,0.7928270177201228,0.7928270177201228,0.9384461137896802,0.8841752911831593,0.8841752911831593,0.8841752911831593,0.8841752911831593,0.7094864168700278,0.736177840143006,0.7740716604539638,0.8063672405646856,0.8063672405646856,0.8841752911831593,0.8841752911831593,0.7928270177201228,0.7928270177201228
05723258_20200601_Feet_R_S_3,0.9383329634050949,0.838310886284261,0.838310886284261,0.9383329634050949,0.9383329634050949,0.838310886284261,0.838310886284261,0.8689048088731323,0.7301214019003404,0.7301214019003404,0.787323128824747,0.9383329634050949,0.825246716396081,0.9383329634050949,0.7704198213282614,0.7704198213282614,0.6087267724075153,0.6087267724075153
11156926_20200427_Feet_L_S_0,0.8041373401727879,0.8041373401727879,0.8041373401727879,0.8041373401727879,0.8905013561195438,0.8905013561195438,0.8155349876487995,0.8155349876487995,0.8155349876487995,0.6344738095646989,0.6344738095646989,0.6344738095646989,0.6344738095646989,0.9441647085459798,0.9441647085459798,0.839569450930212,0.8155349876487995,0.8155349876487995
11156926_20200427_Feet_L_S_1,0.8676316592172827,0.8676316592172827,0.8676316592172827,0.8951525037194715,0.8676316592172827,0.8951525037194715,0.8951525037194715,0.8676316592172827,0.8676316592172827,0.7757833906054444,0.7757833906054444,0.8951525037194715,0.8676316592172827,0.8951525037194715,0.8951525037194715,0.725073528012772,0.725073528012772,0.5728976023804617
11156926_20200427_Feet_L_S_2,0.8588133794129446,0.856211945672753,0.856211945672753,0.856211945672753,0.856211945672753,0.856211945672753,0.9059329946841818,0.9059329946841818,0.9059329946841818,0.7984445547266323,0.8027719133071723,0.856211945672753,0.856211945672753,0.8588133794129446,0.8588133794129446,0.6960973377847096,0.6960973377847096,0.550002834792857
11156926_20200427_Feet_L_S_3,0.8352181678532767,0.8352181678532767,0.8352181678532767,0.8352181678532767,0.8352181678532767,0.8352181678532767,0.8352181678532767,0.8352181678532767,0.8352181678532767,0.661047050304,0.7758121632039999,0.7758121632039999,0.8570823024094776,0.8352181678532767,0.8352181678532767,0.8921377669506162,0.725046637161437,0.725046637161437
11156926_20200427_Feet_R_S_0,0.8495084938184482,0.8495084938184482,0.9471667636265696,0.9471667636265696,0.9471667636265696,0.9471667636265696,0.8525070915599939,0.835802876766847,0.6299152425157171,0.8969589323697297,0.9471667636265696,0.8530687209108205,0.8530687209108205,0.7050154718271243,0.7050154718271243,0.5710625321799706,0.5710625321799706,0.4512099019693596
