method,config,Jaccard
CIBICA,Med9,0.4980481328778388
CIBICA,Med9,0.8137251882344059
CIBICA,Med9,0.6721013331429233
CIBICA,Med9,0.3724420105466591
CIBICA,Med9,0.5611642752824604
CIBICA,Med9,0.2737532535767333
CIBICA,Med9,0.5669274296391678
CIBICA,Med9,0.6032130369969647
CIBICA,Med9,0.8293185901531814
CIBICA,Med9,0.38596137646102335
CIBICA,Med9,0.6609154428239975
CIBICA,Med9,0.7713003129920044
CIBICA,Med9,0.8128753079481796
CIBICA,Med9,0.6489600716352949
CIBICA,Med9,0.6695853099158339
CIBICA,Med9,0.9388267878249104
CIBICA,Med9,0.3684093829204248
CIBICA,Med9,0.4615836438231432
CIBICA,Med9,0.7473091299622346
CIBICA,Med9,0.4508363942782336
CIBICA,Med9,0.6339747335806241
CIBICA,Med9,0.44778672042738665
CIBICA,Med9,0.3682617388525667
CIBICA,Med9,0.26566729721316246
CIBICA,Med9,0.0
CIBICA,Med9,0.0
CIBICA,Med9,0.0
CIBICA,Med9,0.0
CIBICA,Med9,0.7149092500432187
CIBICA,Med9,0.6217998435040918
CIBICA,Med9,0.4335129198381285
CIBICA,Med9,0.45365118502828244
CIBICA,Med9,0.6415283021276996
CIBICA,Med9,0.8774664032399474
CIBICA,Med9,0.8760373707840854
CIBICA,Med9,0.716267773480659
CIBICA,Med9,0.506759679251715
CIBICA,Med9,0.634781398640943
CIBICA,Med9,0.7999229975856165
CIBICA,Med9,0.7921067533095457
CIBICA,Med9,0.8022824764627143
CIBICA,Med9,0.6456262292890278
CIBICA,Med9,0.5592695320496138
CIBICA,Med9,0.7246792914170225
CIBICA,Med9,0.7161354750850367
CIBICA,Med9,0.8553257465800274
CIBICA,Med9,0.562323643560634
CIBICA,Med9,0.8314654346562284
CIBICA,Med9,0.6667181946967585
CIBICA,Med9,0.4944674066075172
CIBICA,Med9,0.5795149604573979
CIBICA,Med9,0.724997223281953
CIBICA,Med9,0.9243621494320622
CIBICA,Med9,0.9168724139014733
CIBICA,Med9,0.5061770884369365
CIBICA,Med9,0.6948945597230789
CIBICA,Med9,0.6134641188541053
CIBICA,Med9,0.2905519097954974
CIBICA,Med9,0.4781296241478876
CIBICA,Med9,0.5225819090327438
CIBICA,Med9,0.44301804272189677
CIBICA,Med9,0.4473897371181134
CIBICA,Med9,0.14721306038782883
CIBICA,Med9,0.6661079833412906
CIBICA,Med9,0.5650148905848025
CIBICA,Med9,0.4345771166333018
CIBICA,Med9,0.44014201594052893
CIBICA,Med9,0.663033299526747
CIBICA,Med9,0.6670210327740409
CIBICA,Med9,0.43717308604576377
CIBICA,Med9,0.6061014629731936
CIBICA,Med9,0.793319813357697
CIBICA,Med9,0.668183371869437
CIBICA,Med9,0.9102198749617851
CIBICA,Med9,0.8547530855996373
CIBICA,Med9,0.7294944342450248
CIBICA,Med9,0.41280992815866746
CIBICA,Med9,0.26424248726155564
CIBICA,Med9,0.48641496026270403
CIBICA,Med9,0.6057260754324881
CIBICA,Med9,0.5483707835252909
CIBICA,Med9,0.7796301939191149
CIBICA,Med9,0.35940066241331864
CIBICA,Med9,0.5950770134965445
CIBICA,Med9,0.0
CIBICA,Med9,0.0
CIBICA,Med9,0.0
CIBICA,Med9,0.0
CIBICA,Med9,0.5964676697776937
CIBICA,Med9,0.8622849493556364
CIBICA,Med9,0.7364066805670938
CIBICA,Med9,0.668103921911904
CIBICA,Med9,0.7539522041614951
CIBICA,Med9,0.3305697083691383
CIBICA,Med9,0.6767911999938967
CIBICA,Med9,0.7158030465888923
CIBICA,Med9,0.36530006532484227
CIBICA,Med9,0.5979567947364033
CIBICA,Med9,0.7065781879825558
CIBICA,Med9,0.283638416696068
CIBICA,Med9,0.35304521716207793
CIBICA,Med9,0.7465649838303301
CIBICA,Med9,0.058858389096124335
CIBICA,Med9,0.20257155646596825
CIBICA,Med9,0.3404489938229019
CIBICA,Med9,0.15724388687166307
CIBICA,Med9,0.4428582181064625
CIBICA,Med9,0.7328547526735423
CIBICA,Med9,0.3708227734688856
CIBICA,Med9,0.45983145946218773
CIBICA,Med9,0.4148012219602407
CIBICA,Med9,0.8122427049586444
CIBICA,Med9,0.31875640258612065
CIBICA,Med9,0.6401921784459558
CIBICA,Med9,0.4374037842302269
CIBICA,Med9,0.47310692759254697
CIBICA,Med9,0.23114679929242088
CIBICA,Med9,0.5140706966132386
CIBICA,Med9,0.24464382149364175
CIBICA,Med9,0.7555892802518194
CIBICA,Med9,0.36401862966680065
CIBICA,Med9,0.44960150209625593
CIBICA,Med9,0.9103985858109919
CIBICA,Med9,0.9222779084271834
CIBICA,Med9,0.22427653041316115
CIBICA,Med9,0.25934202037258947
CIBICA,Med9,0.43915672734944095
CIBICA,Med9,0.3979713661376004
CIBICA,Med9,0.3975438293756573
CIBICA,Med9,0.2519590900979499
CIBICA,Med9,0.8931787505526589
CIBICA,Med9,0.9083058148815694
CIBICA,Med9,0.5125515264408689
CIBICA,Med9,0.48145787727562067
CIBICA,Med9,0.17928956235640886
CIBICA,Med9,0.5750452616838276
CIBICA,Med9,0.3689201640580881
CIBICA,Med9,0.16696520151806696
CIBICA,Med9,0.4499172215368897
CIBICA,Med9,0.5336100385440984
CIBICA,Med9,0.2960848751390425
CIBICA,Med9,0.4232738192413927
CIBICA,Med9,0.859714292110412
CIBICA,Med9,0.3444989927751777
HOUGH,Med9,0.3524082613704111
HOUGH,Med9,0.7694302679810431
HOUGH,Med9,0.7961362341524737
HOUGH,Med9,0.4101127692886557
HOUGH,Med9,0.7033135344339072
HOUGH,Med9,0.2340647666321927
HOUGH,Med9,0.6110269911331705
HOUGH,Med9,0.4944059240013707
HOUGH,Med9,0.6328390189506238
HOUGH,Med9,0.650094934250358
HOUGH,Med9,0.7363709298306018
HOUGH,Med9,0.8326945030967715
HOUGH,Med9,0.7511627431435447
HOUGH,Med9,0.7533709835180294
HOUGH,Med9,0.7363896644510793
HOUGH,Med9,0.7939759328521434
HOUGH,Med9,0.35245171166137523
HOUGH,Med9,0.5914056399733295
HOUGH,Med9,0.6316735365331719
HOUGH,Med9,0.3864203102829816
HOUGH,Med9,0.6359988129984652
HOUGH,Med9,0.4271633647136558
HOUGH,Med9,0.48651778340956636
HOUGH,Med9,0.13804236520565877
HOUGH,Med9,0.0
HOUGH,Med9,0.0
HOUGH,Med9,0.0
HOUGH,Med9,0.0
HOUGH,Med9,0.864468779053228
HOUGH,Med9,0.819486198091821
HOUGH,Med9,0.43667760623742347
HOUGH,Med9,0.4116627710872842
HOUGH,Med9,0.49216005181893696
HOUGH,Med9,0.7905089858453843
HOUGH,Med9,0.8024398949387199
HOUGH,Med9,0.6619295270857177
HOUGH,Med9,0.6991420366263963
HOUGH,Med9,0.6748935335267343
HOUGH,Med9,0.8099393998119842
HOUGH,Med9,0.6949302390641866
HOUGH,Med9,0.7429582108865904
HOUGH,Med9,0.6818582636905139
HOUGH,Med9,0.694832193028279
HOUGH,Med9,0.6157541349680339
HOUGH,Med9,0.6609875863439538
HOUGH,Med9,0.8547161178386886
HOUGH,Med9,0.6884069865441373
HOUGH,Med9,0.7368541131103462
HOUGH,Med9,0.715492874893251
HOUGH,Med9,0.7994606710842194
HOUGH,Med9,0.5438535062839818
HOUGH,Med9,0.5869265605974041
HOUGH,Med9,0.8164214701311329
HOUGH,Med9,0.4915074197052707
HOUGH,Med9,0.5821901885758881
HOUGH,Med9,0.6872361284246745
HOUGH,Med9,0.6488012207164451
HOUGH,Med9,0.3054388972025747
HOUGH,Med9,0.5674804327030556
HOUGH,Med9,0.5178803664972894
HOUGH,Med9,0.3983917884905294
HOUGH,Med9,0.526578234779082
HOUGH,Med9,0.13561459044796667
HOUGH,Med9,0.620495796178333
HOUGH,Med9,0.6304895073940058
HOUGH,Med9,0.40644120648781484
HOUGH,Med9,0.4303523995813401
HOUGH,Med9,0.5282102532171894
HOUGH,Med9,0.6476914239685433
HOUGH,Med9,0.5326297108899755
HOUGH,Med9,0.5376864304373209
HOUGH,Med9,0.7716760644531812
HOUGH,Med9,0.8852159088812928
HOUGH,Med9,0.793001133024932
HOUGH,Med9,0.8753149834860836
HOUGH,Med9,0.4802030217047356
HOUGH,Med9,0.2595280009278293
HOUGH,Med9,0.23552902982279025
HOUGH,Med9,0.4685787909889168
HOUGH,Med9,0.7681682198167219
HOUGH,Med9,0.6436906990742794
HOUGH,Med9,0.7994960261460068
HOUGH,Med9,0.44191859878894035
HOUGH,Med9,0.765658650576742
HOUGH,Med9,0.0
HOUGH,Med9,0.0
HOUGH,Med9,0.0
HOUGH,Med9,0.0
HOUGH,Med9,0.5090343094313644
HOUGH,Med9,0.6893567804344435
