case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
0,05571583_2020023_Feet_L_S_0,GL80,0.8980164834811005,0.0,0.0,0.8980164834811005,0.8980164834811005
1,05571583_2020023_Feet_L_S_1,GL80,0.905785017461204,0.0005698185342725327,0.005726891747794727,0.9001153946308869,0.9058422863786816
2,05571583_2020023_Feet_L_S_2,GL80,0.9090522846207544,3.3306690738754696e-16,0.0,0.909052284620754,0.909052284620754
3,05571583_2020023_Feet_L_S_3,GL80,0.9263489493574686,0.0,0.0,0.9263489493574686,0.9263489493574686
4,05571583_2020023_Feet_R_S_0,GL80,0.8834358568123086,3.3306690738754696e-16,0.0,0.8834358568123083,0.8834358568123083
5,05571583_2020023_Feet_R_S_1,GL80,0.8574197645461752,2.220446049250313e-16,0.0,0.857419764546175,0.857419764546175
6,05571583_2020023_Feet_R_S_2,GL80,0.8941234017138459,1.1102230246251565e-16,0.0,0.894123401713846,0.894123401713846
7,05571583_2020023_Feet_R_S_3,GL80,0.8857519841920453,2.220446049250313e-16,0.0,0.8857519841920455,0.8857519841920455
8,05723258_20200601_Feet_L_S_0,GL80,0.9189196632601813,2.220446049250313e-16,0.0,0.918919663260181,0.918919663260181
9,05723258_20200601_Feet_L_S_1,GL80,0.9324937615479082,3.3306690738754696e-16,0.0,0.9324937615479085,0.9324937615479085
10,05723258_20200601_Feet_L_S_2,GL80,0.9313656354044169,2.220446049250313e-16,0.0,0.9313656354044171,0.9313656354044171
11,05723258_20200601_Feet_L_S_3,GL80,0.9349446356167003,1.1102230246251565e-16,0.0,0.9349446356167002,0.9349446356167002
12,05723258_20200601_Feet_R_S_0,GL80,0.9171543266581889,0.0,0.0,0.9171543266581889,0.9171543266581889
13,05723258_20200601_Feet_R_S_1,GL80,0.8836446445036304,0.0012713648504167738,0.012777697516602293,0.883516867528464,0.8962945650450663
14,05723258_20200601_Feet_R_S_2,GL80,0.9263927390433508,0.004804383715023653,0.016014612383412175,0.9247912778050092,0.9408058901884214
15,05723258_20200601_Feet_R_S_3,GL80,0.9058552905334314,0.0,0.0,0.9058552905334314,0.9058552905334314
16,11156926_20200427_Feet_L_S_0,GL80,0.8483683769002645,0.03311632149686827,0.07160390337418443,0.8261711668542673,0.8977750702284517
