case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
0,05571583_2020023_Feet_L_S_0,GL70,0.8646228527458462,0.010020241508952034,0.028877855944210884,0.839787896633825,0.8686657525780359
1,05571583_2020023_Feet_L_S_0,GL72,0.8771656463421471,0.0071202237554592535,0.0459546296001504,0.850568892841842,0.8965235224419924
2,05571583_2020023_Feet_L_S_0,GL74,0.8731556829300018,0.0016731116874851963,0.016815405150747753,0.8565084318307616,0.8733238369815094
3,05571583_2020023_Feet_L_S_0,GL76,0.8947823946710358,0.0036522465185151814,0.026087475132251292,0.8942606451683911,0.9203481203006424
4,05571583_2020023_Feet_L_S_0,GL78,0.8966087009567171,0.0026782758541238376,0.026917685130901203,0.8963395241054081,0.9232572092363093
5,05571583_2020023_Feet_L_S_0,GL80,0.8988470117626011,0.0047225837193253855,0.027684276050018886,0.8980164834811005,0.9257007595311194
6,05571583_2020023_Feet_L_S_0,GL82,0.9128377658882993,0.0005530759589771478,0.005558622534827862,0.9127821796629508,0.9183408021977787
7,05571583_2020023_Feet_L_S_0,GL84,0.9152790057682177,2.220446049250313e-16,0.0,0.915279005768218,0.915279005768218
8,05571583_2020023_Feet_L_S_0,GL86,0.9208933690253359,3.3306690738754696e-16,0.0,0.9208933690253356,0.9208933690253356
9,05571583_2020023_Feet_L_S_0,Med3,0.6769302470136601,0.014787159893074171,0.10016316604140751,0.5926955485842854,0.6928587146256929
10,05571583_2020023_Feet_L_S_0,Med5,0.7193037945156749,0.036033638004832155,0.1474715189175254,0.6114367105816676,0.758908229499193
11,05571583_2020023_Feet_L_S_0,Med7,0.7231026870000135,0.04301299765346848,0.10216241580323604,0.6769499693061011,0.7791123851093371
12,05571583_2020023_Feet_L_S_0,Med9,0.7515837155519262,0.05102016921809981,0.2111459944766546,0.6645761280888781,0.8757221225655327
13,05571583_2020023_Feet_L_S_0,Med11,0.8422173125675958,0.0652643273423237,0.21015191098515018,0.713388314188687,0.9235402251738372
14,05571583_2020023_Feet_L_S_0,Med13,0.9121507000847968,0.005315801515765984,0.041371930327327,0.8715523116346707,0.9129242419619977
15,05571583_2020023_Feet_L_S_0,Med15,0.8834386848327217,0.007206983392778123,0.03677798311878899,0.8481318210386845,0.8849098041574734
16,05571583_2020023_Feet_L_S_0,Med17,0.8397685779300723,0.0028828969222277315,0.011216960294043954,0.8293804717743009,0.8405974320683448
17,05571583_2020023_Feet_L_S_0,Med19,0.8067907090989663,0.006005828291119431,0.0442791667848641,0.7852070141735907,0.8294861809584548
18,05571583_2020023_Feet_L_S_1,GL70,0.8662975584976951,0.01032910543309021,0.02613666303861706,0.845710962290271,0.871847625328888
19,05571583_2020023_Feet_L_S_1,GL72,0.8797390035934695,0.0011296787562772466,0.010027740556911025,0.8737037217324717,0.8837314622893827
20,05571583_2020023_Feet_L_S_1,GL74,0.8820114955682747,0.005195671794005473,0.03260140751380247,0.8546604838324802,0.8872618913462826
21,05571583_2020023_Feet_L_S_1,GL76,0.8771419814692402,0.009440605401699697,0.030498101654551912,0.8554791830135748,0.8859772846681268
22,05571583_2020023_Feet_L_S_1,GL78,0.8774791184912619,0.01362689898072467,0.06040942072659394,0.8583604533527674,0.9187698740793614
23,05571583_2020023_Feet_L_S_1,GL80,0.9042257907104013,0.00359675524429284,0.021205253012518743,0.8854811030722212,0.9066863560847399
24,05571583_2020023_Feet_L_S_1,GL82,0.909478070077629,0.003263622807401551,0.021379116147887567,0.892296426331075,0.9136755424789625
25,05571583_2020023_Feet_L_S_1,GL84,0.9153801139530914,0.002293258202275764,0.0063673122515751635,0.9126911019794283,0.9190584142310034
26,05571583_2020023_Feet_L_S_1,GL86,0.9178728108590698,0.0012259009170399542,0.008894004231683739,0.9101617848289804,0.9190557890606641
27,05571583_2020023_Feet_L_S_1,Med3,0.6851831668577515,0.0015336942002848446,0.009276268318826553,0.6849137474117624,0.6941900157305889
28,05571583_2020023_Feet_L_S_1,Med5,0.7199222631041343,0.02358808281108544,0.06066419789265465,0.7073952368269538,0.7680594347196085
29,05571583_2020023_Feet_L_S_1,Med7,0.8344086863038936,0.04491777130408653,0.11950381040287972,0.7947950882864527,0.9142988986893325
30,05571583_2020023_Feet_L_S_1,Med9,0.9243791032879517,0.016994657847598536,0.07667645509607879,0.8533025665951144,0.9299790216911932
31,05571583_2020023_Feet_L_S_1,Med11,0.9142719037811782,0.005146264109620121,0.011230068965985107,0.9109028830913827,0.9221329520573678
32,05571583_2020023_Feet_L_S_1,Med13,0.9049058815870383,0.014029300350840986,0.041998679983156095,0.8752720769032655,0.9172707568864216
33,05571583_2020023_Feet_L_S_1,Med15,0.9071320980732861,0.006364402637508083,0.06413800551071658,0.8442953663035949,0.9084333718143115
34,05571583_2020023_Feet_L_S_1,Med17,0.8784478121648391,0.00573311243902865,0.05763464782096139,0.8214259583164375,0.8790606061373989
35,05571583_2020023_Feet_L_S_1,Med19,0.8296493143207762,0.01160393457419842,0.09346850970324305,0.7717767978068083,0.8652453075100514
36,05571583_2020023_Feet_L_S_2,GL70,0.8809658314140197,1.1102230246251565e-16,0.0,0.8809658314140196,0.8809658314140196
37,05571583_2020023_Feet_L_S_2,GL72,0.8808951838738213,0.0005186272245737711,0.0037044801755269363,0.8772647933018044,0.8809692734773313
38,05571583_2020023_Feet_L_S_2,GL74,0.8796269226896848,0.0015085221969666296,0.01449588746194641,0.8653421614617322,0.8798380489236786
39,05571583_2020023_Feet_L_S_2,GL76,0.8825017957721414,0.00021640225513277014,0.0021749244971580595,0.8803486205199554,0.8825235450171135
40,05571583_2020023_Feet_L_S_2,GL78,0.9024377620470446,0.0028055935322899087,0.024488448581072797,0.8787143721071554,0.9032028206882282
41,05571583_2020023_Feet_L_S_2,GL80,0.9089813333720841,0.0004966587406927614,0.0035475624335197242,0.9055047221872343,0.909052284620754
42,05571583_2020023_Feet_L_S_2,GL82,0.9076488786225587,0.0,0.0,0.9076488786225587,0.9076488786225587
43,05571583_2020023_Feet_L_S_2,GL84,0.9074571829780609,0.0002338256973338646,0.0023500366799988903,0.9074336826112614,0.9097837192912603
44,05571583_2020023_Feet_L_S_2,GL86,0.9174776238690445,0.0002473052187554692,0.0017664658482533513,0.9157464873377563,0.9175129531860097
